pid,center_gps,coordinate,photo_counts,matched_aoi,matched_aid
0,"[34.98598736, 135.75379232]","[[34.986268, 135.754108], [34.986268, 135.75325], [34.985494, 135.754108], [34.985494, 135.75325]]",14,[],[]
1,"[35.014356, 135.7456199]","[[35.014813, 135.745868], [35.014813, 135.745525], [35.014321, 135.745868], [35.014321, 135.745525]]",15,"['Nijō Castle, 二条城']",[43]
2,"[35.0133153, 135.74627701]","[[35.013683, 135.746799], [35.013683, 135.745868], [35.012666, 135.746799], [35.012666, 135.745868]]",25,"['Nijō Castle, 二条城']",[43]
3,"[35.01289506, 135.7486405]","[[35.013407, 135.749205], [35.013407, 135.748166], [35.012142, 135.749205], [35.012142, 135.748166]]",341,"['Nijō Castle, 二条城']",[43]
4,"[35.01125755, 135.74793528]","[[35.012083, 135.748271], [35.012083, 135.747756], [35.010877, 135.748271], [35.010877, 135.747756]]",1086,[],[]
5,"[35.0110144, 135.74730493]","[[35.011158, 135.747585], [35.011158, 135.746996], [35.010877, 135.747585], [35.010877, 135.746996]]",43,[],[]
6,"[35.01305093, 135.75330339]","[[35.0135, 135.7535], [35.0135, 135.753006], [35.012705, 135.7535], [35.012705, 135.753006]]",10,[],[]
7,"[35.0141703, 135.7464077]","[[35.014418, 135.746763], [35.014418, 135.746127], [35.01397, 135.746763], [35.01397, 135.746127]]",27,"['Nijō Castle, 二条城']",[43]
8,"[35.01506601, 135.74679277]","[[35.015095, 135.746898], [35.015095, 135.74643], [35.01478, 135.746898], [35.01478, 135.74643]]",20,"['Nijō Castle, 二条城']",[43]
9,"[35.01426733, 135.74730666]","[[35.014743, 135.7481], [35.014743, 135.746824], [35.013866, 135.7481], [35.013866, 135.746824]]",340,"['Nijō Castle, 二条城']",[43]
10,"[35.01509771, 135.74858509]","[[35.015288, 135.748972], [35.015288, 135.748127], [35.014532, 135.748972], [35.014532, 135.748127]]",29,"['Nijō Castle, 二条城']",[43]
11,"[35.01506068, 135.74784381]","[[35.015376, 135.748138], [35.015376, 135.747402], [35.014813, 135.748138], [35.014813, 135.747402]]",18,"['Nijō Castle, 二条城']",[43]
12,"[35.01357212, 135.74946964]","[[35.014158, 135.750587], [35.014158, 135.748819], [35.012983, 135.750587], [35.012983, 135.748819]]",806,"['Nijō Castle, 二条城']",[43]
13,"[35.01194576, 135.74976243]","[[35.012283, 135.749816], [35.012283, 135.749473], [35.01158, 135.749816], [35.01158, 135.749473]]",156,[],[]
14,"[35.01029172, 135.75029258]","[[35.010314, 135.750331], [35.010314, 135.75], [35.01, 135.750331], [35.01, 135.75]]",17,[],[]
15,"[35.01255181, 135.75261244]","[[35.013056, 135.753006], [35.013056, 135.75222], [35.01249, 135.753006], [35.01249, 135.75222]]",31,[],[]
16,"[35.01227882, 135.75193242]","[[35.012327, 135.751983], [35.012327, 135.751833], [35.012002, 135.751983], [35.012002, 135.751833]]",3,[],[]
17,"[35.01295989, 135.74990684]","[[35.012911, 135.749866], [35.012911, 135.749473], [35.012494, 135.749866], [35.012494, 135.749473]]",7,"['Nijō Castle, 二条城']",[43]
18,"[35.01290398, 135.75032454]","[[35.013379, 135.750727], [35.013379, 135.749908], [35.012475, 135.750727], [35.012475, 135.749908]]",682,"['Nijō Castle, 二条城']",[43]
19,"[35.01256798, 135.75037333]","[[35.012588, 135.750846], [35.012588, 135.750069], [35.012283, 135.750846], [35.012283, 135.750069]]",55,"['Nijō Castle, 二条城']",[43]
20,"[35.01353108, 135.74695949]","[[35.013908, 135.747313], [35.013908, 135.746555], [35.013041, 135.747313], [35.013041, 135.746555]]",151,"['Nijō Castle, 二条城']",[43]
21,"[35.01501481, 135.74924566]","[[35.015516, 135.749661], [35.015516, 135.749058], [35.014603, 135.749661], [35.014603, 135.749058]]",24,"['Nijō Castle, 二条城']",[43]
22,"[35.01238349, 135.74931462]","[[35.012519, 135.749398], [35.012519, 135.749194], [35.012283, 135.749398], [35.012283, 135.749194]]",8,"['Nijō Castle, 二条城']",[43]
23,"[35.01164042, 135.74739833]","[[35.012002, 135.747466], [35.012002, 135.74707], [35.011515, 135.747466], [35.011515, 135.74707]]",16,[],[]
24,"[35.01410699, 135.74918185]","[[35.0143, 135.749816], [35.0143, 135.749461], [35.014251, 135.749816], [35.014251, 135.749461]]",3,"['Nijō Castle, 二条城']",[43]
25,"[35.0139523, 135.74878096]","[[35.014489, 135.749163], [35.014489, 135.748383], [35.013833, 135.749163], [35.013833, 135.748383]]",221,"['Nijō Castle, 二条城']",[43]
26,"[35.01399872, 135.74840606]","[[35.014321, 135.748443], [35.014321, 135.748014], [35.013548, 135.748443], [35.013548, 135.748014]]",110,"['Nijō Castle, 二条城']",[43]
27,"[35.01241273, 135.74672677]","[[35.012423, 135.74707], [35.012423, 135.746726], [35.012142, 135.74707], [35.012142, 135.746726]]",540,"['Nijō Castle, 二条城']",[43]
28,"[35.01377061, 135.74767537]","[[35.014168, 135.748055], [35.014168, 135.747369], [35.013407, 135.748055], [35.013407, 135.747369]]",311,"['Nijō Castle, 二条城']",[43]
29,"[35.01304081, 135.74795246]","[[35.0132, 135.748005], [35.0132, 135.747563], [35.012833, 135.748005], [35.012833, 135.747563]]",10,"['Nijō Castle, 二条城']",[43]
30,"[35.01029246, 135.75189571]","[[35.010385, 135.752391], [35.010385, 135.751876], [35.010174, 135.752391], [35.010174, 135.751876]]",12,[],[]
31,"[35.01021705, 135.75117671]","[[35.010596, 135.751533], [35.010596, 135.750935], [35.009861, 135.751533], [35.009861, 135.750935]]",149,[],[]
32,"[35.01122518, 135.74969424]","[[35.011439, 135.75016], [35.011439, 135.749301], [35.010947, 135.75016], [35.010947, 135.749301]]",517,[],[]
